time,value
0,10
41,10
83,9.99691951506509
125,9.98770033508139
167,9.97238345243973
209,9.95102054337419
251,9.92367473043869
292,9.89042132747451
334,9.85134864335813
376,9.80655875740112
418,9.75616832976812
460,9.7003093885494
502,9.63912997009108
543,9.57279511951116
585,9.50148749100908
627,9.42540740122659
669,9.34477493700145
711,9.25982856798521
753,9.17082714767525
794,9.07804921972366
836,8.98179360490663
878,8.88237977465042
920,8.7801472107011
962,8.67545471143353
1004,8.56868167251176
1045,8.46022595245493
1087,8.35050301886365
1129,8.23994584169828
1213,8.01813736939314
1255,7.90782426476889
1296,7.79855126988919
1338,7.69081378691227
1380,7.58511255408165
1422,7.48195642049051
1464,7.38185274112812
1506,7.2853112188613
1547,7.19283707424522
1589,7.10493147241023
1631,7.02208618697656
1673,6.94478573448846
1715,6.87349926356455
1757,6.80868247588851
1798,6.75077421111453
1840,6.70019580653701
1882,6.65734576100535
1924,6.62260571133942
1966,6.59632911982877
2008,6.57884938508227
2049,6.57047450594278
2091,6.57148558738336
2133,6.58214153626221
2175,6.602672444577
2217,6.63328599276719
2259,6.67416403461942
2300,6.72546195693732
2342,6.78731380218334
2384,6.85982949371444
2426,6.94309547611229
2468,7.03717706306085
2510,7.14212185244089
2551,7.25795481713156
2593,7.38468172010497
2635,7.52229338329443
2677,7.67076846235878
2719,7.83005786531335
2761,8.00011015229597
2802,8.18085744830176
2844,8.37221917844285
2886,8.57409961334916
2928,8.78639896822577
2970,9.00900753315916
3012,9.24180561975627
3053,9.48466019941087
3095,9.73743784331029
3137,10
3179,10.3123600253916
3221,10.7177472272786
3263,11.2210849981138
3304,11.8276378129218
3346,12.5430098419166
3388,13.373126274203
3430,14.3241987399444
3472,15.4026681075281
3514,16.615103097945
3555,17.9680799027052
3597,19.467984321796
3639,21.1207739877208
3681,22.9316594810427
3723,24.9046936652605
3765,27.0423072339451
3806,29.3447144842816
3848,31.8093011613653
3890,34.4298910666391
3932,37.1960715767133
3974,40.092488426334
4016,43.0982122083367
4057,46.186297826446
4099,49.3234207877012
4141,52.4698089005656
4183,55.579494991925
4225,58.6012048316801
4267,61.4802012838227
4308,64.1617130613983
4350,66.5959890664928
4392,68.7442440699042
4434,70.5835525416834
4476,72.1087064625884
4518,73.3302038333734
4559,74.2695324291672
4601,74.9538081009748
4643,75.4113624734733
4685,75.6689084165066
4727,75.7501193657379
10416,75.7501193657379
