time,value
0,10
41,10.0471136843993
83,10.1889161488923
125,10.4260140796957
167,10.7588807608945
209,11.1878263524459
251,11.7129600039745
292,12.3341437243149
334,13.0509402746384
376,13.8625577798881
418,14.7677849487034
460,15.764924692519
502,16.8517388437211
543,18.0253723832368
585,19.2823141669459
627,20.6183503950173
669,22.0285436944546
711,23.5072104940949
753,25.0479602981959
794,26.6437383751188
836,28.2868838139355
878,29.9692294159462
920,31.6822545201613
962,33.4171755033081
1004,35.1651370251278
1045,36.9173742453678
1087,38.6653169841673
1129,40.4008407315083
1171,42.1162632321221
1213,43.804552806258
1255,45.4593642081771
1296,47.0750966827601
1338,48.6469417768312
1380,50.1708526033073
1422,51.6435165204408
1464,53.0624063582388
1506,54.4255789278826
1547,55.7317467387135
1589,56.9801584699229
1631,58.1705170082818
1673,59.3029452971954
1715,60.3778838838651
1757,61.3960806740049
1798,62.3584782337204
1840,63.2662035442246
1882,64.1205133603248
1924,64.9227668896659
1966,65.6743370002709
2008,66.3766853526223
2049,67.0312428713512
2091,67.6394336508995
2133,68.2026442196688
2175,68.7222576909659
2217,69.1995649705441
2259,69.6358159830213
2300,70.0322196718808
2342,70.3898756975788
2384,70.7098427394368
2426,70.9930906843168
2468,71.2405416077569
2510,71.4529946418898
2551,71.631228428281
2593,71.7758986650909
2635,71.8876200693446
2677,71.96690490523
2719,72.0142244557998
2761,72.0299202305124
5187,72.0299202305124
5229,72.0035625305054
5271,71.9240181474315
5312,71.7904264774555
5354,71.6016605393641
5396,71.3564362575935
5438,71.0531895188237
5480,70.6901854550055
5522,70.2654228207122
5563,69.7766954648418
5605,69.2215855004282
5647,68.5974496442625
5689,67.9014397074608
5731,67.1305094256534
5773,66.2814759306871
5814,65.3510095053413
5856,64.3357018852204
5898,63.2321379757392
5940,62.03696756911
5982,60.7470248726524
6024,59.3594616974826
6065,57.8719113830531
6107,56.2827141933956
6149,54.5910778265663
6191,52.797425754294
6233,50.9035713918031
6275,48.9130630223675
6316,46.8313852878906
6358,44.6662221511889
6400,42.4275627639233
6442,40.1277492779241
6484,37.7813880527313
6526,35.4051584102981
6567,33.0173908708095
6609,30.6376317281227
6651,28.2859907667015
6693,25.9825606955368
6735,23.7467725490436
6777,21.5968339040018
6818,19.5492482049934
6860,17.6185483870249
6902,15.8170616608877
6944,14.1548774966464
6986,12.6399549856746
7028,11.278263393142
7069,10.0740302059383
7111,9.02992189256282
7153,8.14744736453328
7195,7.42708887055764
7237,6.86865281746161
7279,6.47132982782855
7320,6.23396944167013
7362,6.15521778742682
10416,6.15521778742682
